"MonitoringLocationIdentifier","UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
"USGS-09379500",86,"USGS-UT","USGS Utah Water Science Center","NWIS","SAN JUAN RIVER NEAR BLUFF, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09379500","SAN JUAN RIVER NEAR BLUFF, UT","UT14080205-001_00","San Juan River-1","River/Stream","River / Stream","San Juan River and Tributaries, from Lake Powell to state line except As listed below:",NA,"1C,2A,3B,4",1,1,1,0,37.1506778,-109.8666889,37.1506778,-109.8666889,14080205,23000,"sq mi",NA,NA,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",4048,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09381800",87,"USGS-UT","USGS Utah Water Science Center","NWIS","PARIA RIVER NEAR KANAB, UTAH","Stream",NA,"ACCEPT","Automatically accepted","USGS-09381800","PARIA RIVER NEAR KANAB, UTAH","UT14070007-005_00","Paria River-3","River/Stream","River / Stream","Paria River and tributaries, from state line to headwaters",NA,"2B,3C,4",1,1,1,0,37.1074843,-111.9060102,37.1074843,-111.9060102,14070007,647,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",4345,"feet",1,"feet","Reported method of determination.","NGVD29","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09403600",88,"USGS-UT","USGS Utah Water Science Center","NWIS","KANAB CREEK NEAR KANAB, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09403600","KANAB CREEK NEAR KANAB, UT","UT15010003-002_00","Kanab Creek-1","River/Stream","River / Stream","Kanab Creek and tributaries, from state line to irrigation diversion at confluence with Reservoir Canyon",NA,"2B,3C,4",1,1,1,0,37.1005406,-112.5479827,37.1005406,-112.5479827,15010003,194,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",5060,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09404450",89,"USGS-UT","USGS Utah Water Science Center","NWIS","EAST FORK VIRGIN RIVER NEAR GLENDALE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09404450","EAST FORK VIRGIN RIVER NEAR GLENDALE, UT","UT15010008-020_00","East Fork Virgin-3","River/Stream","River / Stream","East Fork Virgin River, from town of Glendale to headwaters",NA,"2B,3A,4",1,1,1,0,37.3394272,-112.6043769,37.3394272,-112.6043769,15010008,74.2,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",5900,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09404900",90,"USGS-UT","USGS Utah Water Science Center","NWIS","EAST FORK VIRGIN RIVER NEAR SPRINGDALE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09404900","EAST FORK VIRGIN RIVER NEAR SPRINGDALE, UT","UT15010008-018_00","East Fork Virgin-1","River/Stream","River / Stream","Virgin River and tributaries, from the Quail Creek diversion to headwaters, except as listed below",NA,"1C,2B,3C,4",1,1,1,0,37.1641496,-112.9585499,37.1641496,-112.9585499,15010008,343,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",3940,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09405500",91,"USGS-UT","USGS Utah Water Science Center","NWIS","NORTH FORK VIRGIN RIVER NEAR SPRINGDALE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09405500","NORTH FORK VIRGIN RIVER NEAR SPRINGDALE, UT","UT15010008-015_00","North Fork Virgin River-1","River/Stream","River / Stream","North Fork Virgin River and tributaries",NA,"1C,2A,3A,4",1,1,1,0,37.2097046,-112.9785512,37.2097046,-112.9785512,15010008,344,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",3970,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09406000",92,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER AT VIRGIN, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09406000","VIRGIN RIVER AT VIRGIN, UT","UT15010008-011_00","Virgin River-3","River/Stream","River / Stream","Virgin River and tributaries, from the Quail Creek diversion to headwaters, except as listed below",NA,"1C,2B,3C,4",1,1,1,0,37.2041494,-113.1807789,37.2041494,-113.1807789,15010008,956,"sq mi",NA,NA,24000,5,"seconds","Interpolated from MAP.","WGS84",3500,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09406100",93,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER AB LA VERKIN CREEK NR LA VERKIN, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09406100","VIRGIN RIVER AB LA VERKIN CREEK NR LA VERKIN, UT","UT15010008-004_00","Virgin River-2","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below","Virgin River from the Utah/Arizona border to Pah Tempe Springs","2B,3B,4",1,1,1,0,37.1969272,-113.285226,37.1969272,-113.285226,15010008,980,"sq mi",NA,NA,NA,0.5,"seconds","Interpolated from MAP.","WGS84",3020,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09408000",94,"USGS-UT","USGS Utah Water Science Center","NWIS","LEEDS CREEK NEAR LEEDS, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09408000","LEEDS CREEK NEAR LEEDS, UT","UT15010008-006_00","Leeds Creek","River/Stream","River / Stream","Leed's Creek, from confluence with Quail Creek to headwaters",NA,"2B,3A,4",1,1,1,0,37.2674817,-113.3707839,37.2674817,-113.3707839,15010008,15.5,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4000,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09408135",95,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER AB QUAIL CREEK NEAR HURRICANE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09408135","VIRGIN RIVER AB QUAIL CREEK NEAR HURRICANE, UT","UT15010008-004_00","Virgin River-2","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below","Virgin River from the Utah/Arizona border to Pah Tempe Springs","2B,3B,4",1,1,1,0,37.1924824,-113.3532832,37.1924824,-113.3532832,15010008,1314,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",2840,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09408150",96,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER NEAR HURRICANE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09408150","VIRGIN RIVER NEAR HURRICANE, UT","UT15010008-004_00","Virgin River-2","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below","Virgin River from the Utah/Arizona border to Pah Tempe Springs","2B,3B,4",1,1,1,0,37.1627601,-113.3952285,37.1627601,-113.3952285,15010008,1493,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",2836.33,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09408195",97,"USGS-UT","USGS Utah Water Science Center","NWIS","FORT PEARCE WASH NEAR ST. GEORGE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09408195","FORT PEARCE WASH NEAR ST. GEORGE, UT","UT15010009-001_00","Fort Pearce Wash","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below",NA,"2B,3B,4",1,1,1,0,37.0016494,-113.4688407,37.0016494,-113.4688407,15010009,1349,"sq mi",NA,NA,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",2800,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09408400",98,"USGS-UT","USGS Utah Water Science Center","NWIS","SANTA CLARA RIVER NEAR PINE VALLEY, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09408400","SANTA CLARA RIVER NEAR PINE VALLEY, UT","UT15010008-003_00","Santa Clara-3","River/Stream","River / Stream","Santa Clara River and tributaries, from Gunlock Reservoir to headwaters",NA,"2B,3A,4",1,1,1,0,37.3833133,-113.483288,37.3833133,-113.483288,15010008,18.7,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",6640,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09409100",99,"USGS-UT","USGS Utah Water Science Center","NWIS","SANTA CLARA RIVER ABV BAKER RES, NR CENTRAL, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09409100","SANTA CLARA RIVER ABV BAKER RES, NR CENTRAL, UT","UT15010008-003_00","Santa Clara-3","River/Stream","River / Stream","Santa Clara River and tributaries, from Gunlock Reservoir to headwaters",NA,"2B,3A,4",1,1,1,0,37.3847011,-113.6319052,37.3847011,-113.6319052,15010008,116,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4875,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09410100",100,"USGS-UT","USGS Utah Water Science Center","NWIS","SANTA CLARA RIV BLW WINSOR DAM, NR SANTA CLARA, UT","Stream",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT15010008-001_00","Santa Clara-1","River/Stream","River / Stream","Santa Clara River from confluence with Virgin River to Gunlock Reservoir",NA,"1C,2B,3B,4",NA,NA,NA,NA,37.19,-113.7680556,NA,NA,15010008,378,"sq mi",NA,NA,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",3230,"feet",10,"feet","Interpolated from topographic map.","NAVD88","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09413000",101,"USGS-UT","USGS Utah Water Science Center","NWIS","SANTA CLARA RIVER AT ST. GEORGE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09413000","SANTA CLARA RIVER AT ST. GEORGE, UT","UT15010008-001_00","Santa Clara-1","River/Stream","River / Stream","Santa Clara River from confluence with Virgin River to Gunlock Reservoir",NA,"1C,2B,3B,4",1,1,1,0,37.0752587,-113.5930125,37.0752587,-113.5930125,15010008,541,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",2560,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09413200",102,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER NEAR BLOOMINGTON, UT","Stream",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,37.07,-113.5838889,NA,NA,15010010,3853,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",2530,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09413500",103,"USGS-UT","USGS Utah Water Science Center","NWIS","VIRGIN RIVER NEAR ST. GEORGE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09413500","VIRGIN RIVER NEAR ST. GEORGE, UT","UT15010010-001_00","Virgin River-1","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below","Virgin River from the Utah/Arizona border to Pah Tempe Springs","2B,3B,4",1,1,1,0,37.0144243,-113.6805163,37.0144243,-113.6805163,15010010,4123,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",2400,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09413900",104,"USGS-UT","USGS Utah Water Science Center","NWIS","BEAVER DAM WASH NEAR ENTERPRISE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09413900","BEAVER DAM WASH NEAR ENTERPRISE, UT","UT15010010-002_00","Beaver Dam Wash","River/Stream","River / Stream","Beaver Dam Wash and tributaries, from Motoqua to headwaters",NA,"2B,3B,4",1,1,1,0,37.4699749,-114.0466458,37.4699749,-114.0466458,15010010,58,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",4740,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010000",105,"USGS-UT","USGS Utah Water Science Center","NWIS","GREAT SALT LAKE AT SALTAIR BOAT HARBOR, UT","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-001_00","Gilbert Bay","Reservoir/Lake","Lake / Reservoir","Gilbert Bay",NA,"5A",NA,NA,NA,NA,40.7313333,-112.2135569,NA,NA,16020310,22060,"sq mi",NA,NA,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",4186.8,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010020",106,"USGS-UT","USGS Utah Water Science Center","NWIS","GSL BREACH AT LAKESIDE, UT","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-002_00","Gunnison Bay","Reservoir/Lake","Lake / Reservoir","Gunnison Bay",NA,"5B",NA,NA,NA,NA,41.2224304,-112.8499782,NA,NA,16020310,NA,NA,NA,NA,24000,3,"seconds","Interpolated from MAP.","WGS84",4210,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010025",107,"USGS-UT","USGS Utah Water Science Center","NWIS","GSL BREACH 6 MILES E OF LAKESIDE, UT; S TO N FLOW","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-001_00","Gilbert Bay","Reservoir/Lake","Lake / Reservoir","Gilbert Bay",NA,"5A",NA,NA,NA,NA,41.2208611,-112.7663889,NA,NA,16020310,NA,NA,NA,NA,24000,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",4216.93,"feet",0.1,"feet","Reported method of determination.","NAVD88","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010026",108,"USGS-UT","USGS Utah Water Science Center","NWIS","GSL BREACH 6 MILES E OF LAKESIDE, UT; N TO S FLOW","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-001_00","Gilbert Bay","Reservoir/Lake","Lake / Reservoir","Gilbert Bay",NA,"5A",NA,NA,NA,NA,41.2208611,-112.7663889,NA,NA,16020310,NA,NA,NA,NA,NA,0.5,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",4216.93,"feet",0.1,"feet","Reported method of determination.","NAVD88","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010060",109,"USGS-UT","USGS Utah Water Science Center","NWIS","Bear R Bay Outflow at Causeway Brg nr Warren, UT","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-003_00","Bear River Bay","Reservoir/Lake","Lake / Reservoir","Bear River Bay",NA,"5C",NA,NA,NA,NA,41.2341064,-112.3371697,NA,NA,16020310,NA,NA,NA,NA,NA,0.5,"seconds","Interpolated from MAP.","WGS84",4210,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10010100",110,"USGS-UT","USGS Utah Water Science Center","NWIS","GREAT SALT LAKE NEAR SALINE, UT","Lake, Reservoir, Impoundment",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020310-002_00","Gunnison Bay","Reservoir/Lake","Lake / Reservoir","Gunnison Bay",NA,"5B",NA,NA,NA,NA,41.2552107,-112.496903,NA,NA,16020310,NA,NA,NA,NA,NA,1,"seconds","Interpolated from MAP.","WGS84",4189.8,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10011500",111,"USGS-UT","USGS Utah Water Science Center","NWIS","BEAR RIVER NEAR UTAH-WYOMING STATE LINE","Stream",NA,"ACCEPT","Automatically accepted","USGS-10011500","BEAR RIVER NEAR UTAH-WYOMING STATE LINE","UT16010101-021_00","Bear River-6","River/Stream","River / Stream","Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.9652254,-110.8535079,40.9652254,-110.8535079,16010101,172,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",7965,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10023000",112,"USGS-UT","USGS Utah Water Science Center","NWIS","BIG CREEK NEAR RANDOLPH, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10023000","BIG CREEK NEAR RANDOLPH, UT","UT16010101-007_00","Big Creek","River/Stream","River / Stream","Bear River and tributaries in Rich County",NA,"2B,3A,4",1,1,1,0,41.6099418,-111.2540876,41.6099418,-111.2540876,16010101,52.4,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",6410,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,33,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10105900",113,"USGS-UT","USGS Utah Water Science Center","NWIS","LITTLE BEAR RIVER AT PARADISE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10105900","LITTLE BEAR RIVER AT PARADISE, UT","UT16010203-011_00","Little Bear River-2","River/Stream","River / Stream","Little Bear River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.5754898,-111.8552203,41.5754898,-111.8552203,16010203,182,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",4740,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10108400",114,"USGS-UT","USGS Utah Water Science Center","NWIS","CACHE HIGHLINE CANAL NEAR LOGAN, UTAH","Stream: Canal",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16010203-005_00","Logan River-1","River/Stream","River / Stream","Logan River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",NA,NA,NA,NA,41.7429869,-111.761886,NA,NA,16010203,0.01,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4857.66,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10109000",115,"USGS-UT","USGS Utah Water Science Center","NWIS","LOGAN RIVER ABOVE STATE DAM, NEAR LOGAN, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10109000","LOGAN RIVER ABOVE STATE DAM, NEAR LOGAN, UT","UT16010203-005_00","Logan River-1","River/Stream","River / Stream","Logan River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.7432644,-111.78272,41.7432644,-111.78272,16010203,214,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4680,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10113500",116,"USGS-UT","USGS Utah Water Science Center","NWIS","BLACKSMITH FORK AB UP and L CO.'S DAM NR HYRUM, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10113500","BLACKSMITH FORK AB UP and L CO.'S DAM NR HYRUM, UT","UT16010203-020_00","Blacksmiths Fork-1","River/Stream","River / Stream","Blacksmith Fork and tributaries, from confluence with Logan River to headwaters",NA,"2B,3A,4",1,1,1,0,41.6235452,-111.7388286,41.6235452,-111.7388286,16010203,263,"sq mi",NA,NA,NA,1,"seconds","Interpolated from MAP.","WGS84",5020.6,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10126000",117,"USGS-UT","USGS Utah Water Science Center","NWIS","BEAR RIVER NEAR CORINNE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10126000","BEAR RIVER NEAR CORINNE, UT","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.5763213,-112.100782,41.5763213,-112.100782,16010204,7029,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4204.6,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10128500",118,"USGS-UT","USGS Utah Water Science Center","NWIS","WEBER RIVER NEAR OAKLEY, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10128500","WEBER RIVER NEAR OAKLEY, UT","UT16020101-024_00","Weber River-10","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.7371721,-111.2479652,40.7371721,-111.2479652,16020101,162,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",6640,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10129300",119,"USGS-UT","USGS Utah Water Science Center","NWIS","WEBER RIVER NEAR PEOA, UTAH","Stream",NA,"ACCEPT","Automatically accepted","USGS-10129300","WEBER RIVER NEAR PEOA, UTAH","UT16020101-023_00","Weber River-9","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.75106,-111.3704716,40.75106,-111.3704716,16020101,296,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",6050,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10129500",120,"USGS-UT","USGS Utah Water Science Center","NWIS","WEBER RIVER NEAR WANSHIP, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10129500","WEBER RIVER NEAR WANSHIP, UT","UT16020101-017_00","Weber River-8","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.7927261,-111.404918,40.7927261,-111.404918,16020101,335,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",5900,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10129900",121,"USGS-UT","USGS Utah Water Science Center","NWIS","SILVER CREEK NEAR SILVER CREEK JUNCTION, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10129900","SILVER CREEK NEAR SILVER CREEK JUNCTION, UT","UT16020101-020_00","Silver Creek","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.7352263,-111.4760313,40.7352263,-111.4760313,16020101,17.4,"sq mi",NA,NA,24000,5,"seconds","Interpolated from MAP.","WGS84",6470,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10130500",122,"USGS-UT","USGS Utah Water Science Center","NWIS","WEBER RIVER NEAR COALVILLE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10130500","WEBER RIVER NEAR COALVILLE, UT","UT16020101-017_00","Weber River-8","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.8952253,-111.4018633,40.8952253,-111.4018633,16020101,435,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",5600,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10131000",123,"USGS-UT","USGS Utah Water Science Center","NWIS","CHALK CREEK AT COALVILLE, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10131000","CHALK CREEK AT COALVILLE, UT","UT16020101-010_00","Chalk Creek1-Coalville","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.9205029,-111.4015858,40.9205029,-111.4015858,16020101,250,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",5660.6,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-10132000",124,"USGS-UT","USGS Utah Water Science Center","NWIS","WEBER RIVER AT ECHO, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-10132000","WEBER RIVER AT ECHO, UT","UT16020101-004_00","Weber River-7","River/Stream","River / Stream","Weber River and tributaries, from Stoddard diversion to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.9677245,-111.437699,40.9677245,-111.437699,16020101,727,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",5440,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
